Index,DT,Energy,Month,DayOfWeek,BankHols,RetailHols,Trend2010,AvgDB,LagDB,Lag2DB,AvgClouds,AvgWind
0,1/1/17,242.69,1.00,7.00,0.00,0.00,7.00,46.77,36.66,36.72,4.39,5.24
1,1/2/17,257.06,1.00,1.00,0.00,0.00,7.01,45.10,46.77,36.66,8.00,5.66
2,1/3/17,265.35,1.00,2.00,0.00,0.00,7.01,45.37,45.10,46.77,7.75,5.63
3,1/4/17,253.79,1.00,3.00,0.00,0.00,7.01,48.87,45.37,45.10,3.71,8.61
4,1/5/17,305.91,1.00,4.00,0.00,0.00,7.01,34.49,48.87,45.37,6.06,3.84
5,1/6/17,316.87,1.00,5.00,0.00,0.00,7.02,32.57,34.49,48.87,7.50,7.24
6,1/7/17,376.45,1.00,6.00,0.00,0.00,7.02,21.42,32.57,34.49,5.93,11.40
7,1/8/17,409.32,1.00,7.00,0.00,0.00,7.02,14.80,21.42,32.57,0.63,8.06
8,1/9/17,417.47,1.00,1.00,0.00,0.00,7.02,15.51,14.80,21.42,3.30,3.90
9,1/10/17,369.66,1.00,2.00,0.00,0.00,7.03,27.95,15.51,14.80,5.36,5.85
10,1/11/17,282.84,1.00,3.00,0.00,0.00,7.03,44.95,27.95,15.51,5.09,6.65
11,1/12/17,239.89,1.00,4.00,0.00,0.00,7.03,59.22,44.95,27.95,2.69,12.72
12,1/13/17,236.02,1.00,5.00,0.00,0.00,7.04,53.77,59.22,44.95,5.93,7.91
13,1/14/17,273.35,1.00,6.00,0.00,0.00,7.04,39.56,53.77,59.22,7.97,5.35
14,1/15/17,261.88,1.00,7.00,0.00,0.00,7.04,41.13,39.56,53.77,6.28,4.16
15,1/16/17,278.90,1.00,1.00,1.00,0.00,7.04,40.91,41.13,39.56,7.74,2.54
16,1/17/17,264.49,1.00,2.00,0.00,0.00,7.05,48.78,40.91,41.13,7.23,6.16
17,1/18/17,242.24,1.00,3.00,0.00,0.00,7.05,52.22,48.78,40.91,3.41,6.42
